favorite_count,retweet_count,tweet_id
16430.0,4521.0,840370681858686976
19222.0,5704.0,840268004936019968
13404.0,2270.0,839990271299457024
27449.0,7722.0,839549326359670784
0.0,143.0,839290600511926273
27091.0,6516.0,839239871831150596
19638.0,3989.0,838952994649550848
11148.0,2060.0,838921590096166913
0.0,35.0,838916489579200512
0.0,10984.0,838831947270979586
10943.0,1335.0,838561493054533637
22515.0,4768.0,838476387338051585
0.0,10047.0,838201503651401729
1675.0,332.0,838150277551247360
139.0,1.0,838085839343206401
17634.0,3134.0,838083903487373313
34145.0,7852.0,837820167694528512
3852.0,442.0,837482249356513284
12828.0,2275.0,837471256429613056
12828.0,2275.0,837471256429613056
16092.0,2366.0,837110210464448512
16092.0,2366.0,837110210464448512
12790.0,2293.0,836989968035819520
19358.0,4642.0,836753516572119041
12638.0,2228.0,836677758902222849
0.0,555.0,836648853927522308
0.0,27528.0,836397794269200385
14785.0,2993.0,836380477523124226
21354.0,4309.0,836260088725786625
19124.0,4269.0,836001077879255040
0.0,8141.0,835685285446955009
17824.0,3628.0,835574547218894849
0.0,1702.0,835536468978302976
0.0,20977.0,835309094223372289
16511.0,3023.0,835297930240217089
7757.0,1702.0,835264098648616962
2107.0,73.0,835246439529840640
26248.0,5782.0,835172783151792128
22471.0,3025.0,835152434251116546
10837.0,1650.0,834931633769889797
21421.0,5514.0,834786237630337024
13705.0,2545.0,834574053763584002
0.0,10684.0,834477809192075265
9651.0,1691.0,834458053273591808
20678.0,4769.0,834209720923721728
15876.0,3672.0,834167344700198914
10090.0,2147.0,834089966724603904
13128.0,2218.0,834086379323871233
13481.0,2418.0,833863086058651648
18125.0,3790.0,833826103416520705
0.0,222.0,833732339549220864
20888.0,3232.0,833722901757046785
14897.0,2062.0,833479644947025920
20293.0,4864.0,833124694597443584
13324.0,2215.0,832998151111966721
0.0,39.0,832769181346996225
16941.0,3646.0,832757312314028032
11934.0,2935.0,832682457690300417
2943.0,532.0,832645525019123713
15923.0,2803.0,832636094638288896
12018.0,2230.0,832397543355072512
17260.0,3208.0,832369877331693569
11403.0,2351.0,832273440279240704
0.0,6239.0,832215909146226688
0.0,9393.0,832215726631055365
62.0,2.0,832088576586297345
0.0,9682.0,832040443403784192
17973.0,4683.0,832032802820481025
