year,city,country,avg_temp
2001,Tunis,Tunisia,20.04
2002,Tunis,Tunisia,19.74
2003,Tunis,Tunisia,20.04
2004,Tunis,Tunisia,19.37
2005,Tunis,Tunisia,19.12
2006,Tunis,Tunisia,19.82
2007,Tunis,Tunisia,19.71
2008,Tunis,Tunisia,19.76
2009,Tunis,Tunisia,19.64
2010,Tunis,Tunisia,19.76
2011,Tunis,Tunisia,19.53
2012,Tunis,Tunisia,20.12
2013,Tunis,Tunisia,20.00
